,followersCount,followsCount,highlightReelCount,postsCount,med_likes,status,user_digits,full_len,full_characters,full_digits,bio_len,bio_emojis
61,49.0,739.0,0.0,22.0,0.0,0,1,0,0,0,0,0
62,3088.0,3986.0,4.0,19.0,231.5,0,4,13,4,0,74,10
63,21999.0,0.0,1.0,617.0,126.0,1,0,7,0,0,52,0
64,56.0,1429.0,0.0,24.0,0.0,0,5,0,0,0,0,0
65,105.0,6300.0,0.0,24.0,1.5,0,1,0,0,0,0,0
66,142.0,6496.0,0.0,1.0,10.0,0,2,0,0,0,0,0
67,95.0,3726.0,0.0,9.0,3.0,0,2,10,0,0,50,1
68,321824.0,3187.0,6.0,1989.0,22578.5,1,0,13,0,0,80,0
69,948.0,2986.0,0.0,25.0,38.0,0,2,0,0,0,56,8
70,86.0,6131.0,0.0,4.0,7.5,0,6,7,7,0,72,2
71,3030.0,1240.0,3.0,92.0,129.5,1,0,18,0,0,63,6
72,112.0,3512.0,1.0,22.0,15.0,0,4,6,2,0,43,0
73,60.0,5194.0,0.0,23.0,2.0,0,2,8,7,0,0,0
74,66.0,4944.0,0.0,4.0,,0,3,0,0,0,0,0
75,1231.0,1488.0,0.0,9.0,,1,0,4,0,0,33,1
76,1043.0,1454.0,0.0,1.0,,0,2,5,0,0,28,0
77,204938.0,827.0,0.0,786.0,3523.0,1,0,14,0,0,64,0
78,55.0,220.0,0.0,0.0,,0,0,5,5,0,120,9
79,313812.0,1493.0,18.0,365.0,6519.0,1,0,6,1,0,64,0
80,1457.0,1469.0,0.0,43.0,,1,0,15,0,0,41,0
81,1667.0,2148.0,1.0,2.0,388.0,1,0,16,0,0,19,3
82,89537.0,1170.0,3.0,224.0,8589.0,1,0,22,0,0,74,4
83,67.0,2235.0,0.0,4.0,0.5,0,3,0,0,0,0,0
84,158.0,5822.0,0.0,0.0,,0,6,0,0,0,13,0
85,379.0,380.0,1.0,12.0,20.0,1,0,12,0,0,0,0
87,181.0,7319.0,0.0,92.0,32.0,0,5,8,0,4,1,1
88,153048.0,513.0,7.0,47.0,1364.5,1,0,12,0,0,61,1
89,1570.0,2391.0,2.0,47.0,98.5,1,0,13,2,0,120,0
90,608.0,536.0,7.0,63.0,87.5,1,0,12,0,0,0,0
91,150.0,549.0,0.0,3.0,,1,0,16,1,0,0,0
92,157.0,4783.0,0.0,3.0,5.0,0,3,6,0,0,0,0
93,90.0,6228.0,0.0,4.0,3.5,0,6,7,7,0,71,0
94,75.0,763.0,0.0,4.0,1.5,0,5,0,0,0,15,0
95,122.0,6007.0,2.0,22.0,6.0,0,3,0,0,0,0,0
